initial  value 4.554392 
iter   2 value 2.502314
iter   3 value 2.170661
iter   4 value 2.136239
iter   5 value 2.067481
iter   6 value 1.999671
iter   7 value 1.965620
iter   8 value 1.946450
iter   9 value 1.935972
iter  10 value 1.924744
iter  11 value 1.915826
iter  12 value 1.912223
iter  13 value 1.910040
iter  14 value 1.907116
iter  15 value 1.903007
iter  16 value 1.898806
iter  17 value 1.894825
iter  18 value 1.891096
iter  19 value 1.888100
iter  20 value 1.886362
iter  21 value 1.885196
iter  22 value 1.883681
iter  23 value 1.881132
iter  24 value 1.877685
iter  25 value 1.874991
iter  26 value 1.873760
iter  27 value 1.873040
iter  28 value 1.872257
iter  29 value 1.871546
iter  30 value 1.871183
iter  31 value 1.871011
iter  32 value 1.870850
iter  33 value 1.870608
iter  34 value 1.870334
iter  35 value 1.870143
iter  36 value 1.870039
iter  37 value 1.869943
iter  38 value 1.869801
iter  39 value 1.869634
iter  40 value 1.869498
iter  41 value 1.869398
iter  42 value 1.869283
iter  43 value 1.869113
iter  44 value 1.868915
iter  45 value 1.868764
iter  46 value 1.868666
iter  47 value 1.868557
iter  48 value 1.868360
iter  49 value 1.868064
iter  50 value 1.867773
iter  51 value 1.867595
iter  52 value 1.867489
iter  53 value 1.867385
iter  54 value 1.867241
iter  55 value 1.867105
iter  56 value 1.867017
iter  57 value 1.866953
iter  58 value 1.866868
iter  59 value 1.866737
iter  60 value 1.866598
iter  61 value 1.866510
iter  62 value 1.866463
iter  63 value 1.866413
iter  64 value 1.866322
iter  65 value 1.866195
iter  66 value 1.866091
iter  67 value 1.866048
iter  68 value 1.866033
iter  69 value 1.866016
iter  70 value 1.865979
iter  71 value 1.865918
iter  72 value 1.865849
iter  73 value 1.865800
iter  74 value 1.865765
iter  75 value 1.865727
iter  76 value 1.865671
iter  77 value 1.865615
iter  78 value 1.865582
iter  79 value 1.865566
iter  80 value 1.865552
iter  81 value 1.865527
iter  82 value 1.865490
iter  83 value 1.865459
iter  84 value 1.865446
iter  85 value 1.865438
iter  86 value 1.865428
iter  87 value 1.865410
iter  88 value 1.865392
iter  89 value 1.865381
iter  90 value 1.865375
iter  91 value 1.865370
iter  92 value 1.865362
iter  93 value 1.865354
iter  94 value 1.865349
iter  95 value 1.865348
iter  96 value 1.865339
iter  97 value 1.865338
iter  98 value 1.865335
iter  99 value 1.865333
iter 100 value 1.865329
iter 101 value 1.865327
iter 102 value 1.865326
iter 103 value 1.865325
iter 104 value 1.865323
iter 105 value 1.865321
iter 106 value 1.865319
iter 107 value 1.865318
iter 108 value 1.865317
iter 109 value 1.865317
iter 110 value 1.865316
iter 111 value 1.865315
iter 112 value 1.865314
iter 113 value 1.865313
iter 114 value 1.865313
iter 115 value 1.865312
iter 116 value 1.865311
iter 117 value 1.865311
iter 118 value 1.865311
iter 119 value 1.865310
iter 120 value 1.865310
iter 121 value 1.865310
iter 122 value 1.865310
iter 123 value 1.865309
iter 124 value 1.865309
iter 125 value 1.865309
iter 126 value 1.865309
iter 127 value 1.865309
iter 128 value 1.865309
iter 129 value 1.865309
iter 130 value 1.865309
iter 131 value 1.865308
iter 132 value 1.865308
iter 133 value 1.865308
iter 134 value 1.865308
iter 135 value 1.865308
iter 135 value 1.865308
iter 135 value 1.865308
final  value 1.865308 
converged
Used 137 function and 135 gradient evaluations
initial  value 3.439161 
iter   2 value 2.104888
iter   3 value 1.997303
iter   4 value 1.983242
iter   5 value 1.934276
iter   6 value 1.930037
iter   7 value 1.922985
iter   8 value 1.916562
iter   9 value 1.910997
iter  10 value 1.907557
iter  11 value 1.904185
iter  12 value 1.901017
iter  13 value 1.898398
iter  14 value 1.895929
iter  15 value 1.892820
iter  16 value 1.888352
iter  17 value 1.883024
iter  18 value 1.879078
iter  19 value 1.877571
iter  20 value 1.876956
iter  21 value 1.876093
iter  22 value 1.875192
iter  23 value 1.874496
iter  24 value 1.874056
iter  25 value 1.873627
iter  26 value 1.873144
iter  27 value 1.872743
iter  28 value 1.872466
iter  29 value 1.872219
iter  30 value 1.871931
iter  31 value 1.871658
iter  32 value 1.871452
iter  33 value 1.871286
iter  34 value 1.871109
iter  35 value 1.870921
iter  36 value 1.870760
iter  37 value 1.870622
iter  38 value 1.870452
iter  39 value 1.870216
iter  40 value 1.869965
iter  41 value 1.869778
iter  42 value 1.869636
iter  43 value 1.869464
iter  44 value 1.869228
iter  45 value 1.868995
iter  46 value 1.868843
iter  47 value 1.868739
iter  48 value 1.868595
iter  49 value 1.868357
iter  50 value 1.868085
iter  51 value 1.867912
iter  52 value 1.867826
iter  53 value 1.867746
iter  54 value 1.867618
iter  55 value 1.867440
iter  56 value 1.867287
iter  57 value 1.867200
iter  58 value 1.867137
iter  59 value 1.867046
iter  60 value 1.866906
iter  61 value 1.866765
iter  62 value 1.866684
iter  63 value 1.866636
iter  64 value 1.866580
iter  65 value 1.866500
iter  66 value 1.866412
iter  67 value 1.866355
iter  68 value 1.866322
iter  69 value 1.866283
iter  70 value 1.866212
iter  71 value 1.866105
iter  72 value 1.866005
iter  73 value 1.865953
iter  74 value 1.865930
iter  75 value 1.865902
iter  76 value 1.865846
iter  77 value 1.865757
iter  78 value 1.865667
iter  79 value 1.865619
iter  80 value 1.865598
iter  81 value 1.865580
iter  82 value 1.865553
iter  83 value 1.865524
iter  84 value 1.865506
iter  85 value 1.865495
iter  86 value 1.865482
iter  87 value 1.865459
iter  88 value 1.865427
iter  89 value 1.865401
iter  90 value 1.865389
iter  91 value 1.865384
iter  92 value 1.865378
iter  93 value 1.865366
iter  94 value 1.865351
iter  95 value 1.865349
iter  96 value 1.865344
iter  97 value 1.865343
iter  98 value 1.865341
iter  99 value 1.865340
iter 100 value 1.865338
iter 101 value 1.865336
iter 102 value 1.865333
iter 103 value 1.865330
iter 104 value 1.865328
iter 105 value 1.865327
